CLAVE1P;label
461050105;INDEPENDENCIA
461120112;ROSARIO VERA PEÑALOZA
461190119;SAN BLAS DE LOS SAUCES
461260126;SANAGASTA
500070007;CAPITAL
500140014;GENERAL ALVEAR
500210021;GODOY CRUZ
500280028;GUAYMALLEN
500350035;JUNIN
500420042;LA PAZ
500490049;LAS HERAS
500560056;LAVALLE
500630063;LUJAN DE CUYO
500700070;MAIPU
500770077;MALARGUE
500840084;RIVADAVIA
500910091;SAN CARLOS
500980098;SAN MARTIN
501050105;SAN RAFAEL
501120112;SANTA ROSA
501190119;TUNUYAN
501260126;TUPUNGATO
540070007;APOSTOLES
540070014;AZARA
540070021;SAN JOSE
540070028;TRES CAPONES
540140035;ARISTOBULO DEL VALLE
540140042;CAMPO GRANDE
540140049;DOS DE MAYO
540210056;BONPLAND
540210063;CANDELARIA
540210070;CERRO CORA
540210077;LORETO
540210084;MARTIRES
540210091;PROFUNDIDAD
540210098;SANTA ANA
540280105;FACHINAL
540280112;GARUPA
540280119;POSADAS
540350126;CONCEPCION DE LA SIERRA
540350133;SANTA MARIA
540420140;COLONIA DELICIA
540420147;COLONIA VICTORIA
540420154;ELDORADO
540420161;9 DE JULIO
540420168;SANTIAGO DE LINIERS
540490175;BERNARDO DE IRIGOYEN
540490182;ANDRESITO
540490189;SAN ANTONIO
540560196;EL SOBERBIO
540560203;SAN VICENTE
540630210;PUERTO ESPERANZA
540630217;PUERTO IGUAZU
540630224;PUERTO LIBERTAD
540630231;WANDA
540700238;ALMAFUERTE
540700245;ARROYO DEL MEDIO
540700252;CAA YARI
540700259;CERRO AZUL
540700266;DOS ARROYOS
540700273;GOBERNADOR LOPEZ
540700280;LEANDRO N. ALEM
540700287;OLEGARIO VICTOR ANDRADE
540770294;CAPIOVI
540770301;EL ALCAZAR
540770308;GARUHAPE
540770315;PUERTO LEONI
540770322;PUERTO RICO
540770329;RUIZ DE MONTOYA
540840336;CARAGUATAY
540840343;MONTECARLO
540840350;PUERTO PIRAY
540910357;CAMPO RAMON
540910364;CAMPO VIERA
540910371;COLONIA ALBERDI
540910378;GENERAL ALVEAR
540910385;GUARANI
540910392;LOS HELECHOS
540910399;OBERA
540910406;PANAMBI
540910413;SAN MARTIN
540980420;COLONIA POLANA
540980427;CORPUS
540980434;GENERAL URQUIZA
540980441;GOBERNADOR ROCA
540980448;HIPOLITO YRIGOYEN
540980455;JARDIN AMERICA
540980462;SAN IGNACIO
540980469;SANTO PIPO
541050476;FLORENTINO AMEGHINO
541050483;ITACARUARE
541050490;MOJON GRANDE
541050497;SAN JAVIER
541120504;SAN PEDRO
541190511;ALBA POSSE
541190518;COLONIA AURORA
541190525;25 DE MAYO
580070000;ZONA RURAL
580070007;ALUMINE
580070252;VILLA PEHUENIA
580140000;ZONA RURAL
580140014;AÑELO
580140021;SAN PATRICIO DEL CHAÑAR
580145014;AGUADA SAN ROQUE
580145021;LOS CHIHUIDOS
580210000;ZONA RURAL
580210028;LAS COLORADAS
580215028;PILO LIL
580215154;VILLA PUENTE PICUN LEUFU
580280000;ZONA RURAL
580280035;PIEDRA DEL AGUILA
580285035;SANTO TOMAS
580350000;ZONA RURAL
580350042;CENTENARIO
580350049;CUTRAL CO
580350056;NEUQUEN
580350063;PLAZA HUINCUL
580350070;PLOTTIER
580350077;SENILLOSA
580350084;VILLA EL CHOCON
580350091;VISTA ALEGRE
580355042;SAUZAL BONITO
580420000;ZONA RURAL
580420098;CHOS MALAL
580420105;TRICAO MALAL
580425049;COYUCO COCHICO
580425056;VILLA CURI LEUVU
580490000;ZONA RURAL
580490112;JUNIN DE LOS ANDES
580560000;ZONA RURAL
580560119;SAN MARTIN DE LOS ANDES
580630000;ZONA RURAL
580630126;LONCOPUE
580635063;CHORRIACA
580700000;ZONA RURAL
580700133;VILLA LA ANGOSTURA
580705070;VILLA TRAFUL
580770000;ZONA RURAL
580770140;ANDACOLLO
580770147;HUINGANCO
580770154;LAS OVEJAS
580770161;LOS MICHES
580775077;GUAÑACOS
580775084;MANZANO AMARGO
580775091;VARVARCO - INVERNADA VIEJA
580775098;VILLA DEL NAHUEVE
580840000;ZONA RURAL
580840168;CAVIAHUE - COPAHUE
580840175;EL CHOLAR
580840182;EL HUECU
580840189;TAQUIMILAN
580910000;ZONA RURAL
580910196;BARRANCAS
580910203;BUTA RANQUIL
580910210;RINCON DE LOS SAUCES
580915105;OCTAVIO PICO
580980000;ZONA RURAL
580980217;PICUN LEUFU
580985112;EL SAUCE
580985119;PASO AGUERRE
581050000;ZONA RURAL
581050224;BAJADA DEL AGRIO
581050231;LAS LAJAS
581055126;QUILI MALAL
581120000;ZONA RURAL
581120238;MARIANO MORENO
581120245;ZAPALA
581125133;COVUNCO ABAJO
581125140;LOS CATUTOS
581125147;RAMON M CASTRO
581125154;VILLA PUENTE PICUN LEUFU
620070000;ZONA RURAL
620070007;GUARDIA MITRE
620070014;VIEDMA
620075014;SAN JAVIER
620140000;ZONA RURAL
620140021;CHIMPAY
620140028;CHOELE CHOEL
620140035;CORONEL BELISLE
620140042;DARWIN
620140049;LAMARQUE
620140056;LUIS BELTRAN
620140063;POMONA
620145084;CHELFORO
620210000;ZONA RURAL
620210070;EL BOLSON
620210077;SAN CARLOS DE BARILOCHE
620215028;EL MANSO
620215049;VILLA MASCARDI
620280000;ZONA RURAL
620280084;GENERAL CONESA
620350000;ZONA RURAL
620350133;CIPOLLETTI
620350161;GENERAL ROCA
620355056;EL CUY
620355063;CERRO POLICIA
620355070;MENCUE
620355077;AGUADA GUZMAN
620355098;NAUPA HUEN
620355112;VALLE AZUL
620420000;ZONA RURAL
620420091;ALLEN
620420098;CAMPO GRANDE
620420105;CATRIEL
620420112;CERVANTES
620420119;CHICHINALES
620420126;CINCO SALTOS
620420133;CIPOLLETTI
620420140;CONTRALMIRANTE CORDERO
620420147;GENERAL ENRIQUE GODOY
620420154;GENERAL FERNANDEZ ORO
620420161;GENERAL ROCA
620420168;INGENIERO HUERGO
620420175;MAINQUE
620420182;VILLA REGINA
620425105;PEÑAS BLANCAS
620490000;ZONA RURAL
620490189;MINISTRO RAMOS MEXIA
620490196;SIERRA COLORADA
620495119;RINCON TRENETA
620495126;YAMINUE
620495161;CONA NIYEU
620495210;COMICO
620495259;PRAHUANIYEU
620560000;ZONA RURAL
620560203;ÑORQUINCO
620560224;PILCANIYEU
620565238;MAMUEL CHOIQUE
620565245;OJOS DE AGUA
620565266;RIO CHICO
620630000;ZONA RURAL
620630210;RIO COLORADO
620635133;PICHI MAHUIDA
620700000;ZONA RURAL
620700217;COMALLO
620700224;PILCANIYEU
620700273;DINA HUAPI
620705042;VILLA LLANQUIN
620705140;PILQUINIYEU DEL LIMAY
620705231;LAGUNA BLANC
