P12;label
143127;CHUÑA HUASI
143134;POZO NUEVO
140000;ZONA RURAL
141421;ALMAFUERTE
141428;COLONIA ALMADA
141435;CORRALITO
141442;DALMACIO VELEZ
141449;HERNANDO
141456;JAMES CRAIK
141463;LAS PERDICES
141470;LOS ZORROS
141477;OLIVA
141484;PAMPAYASTA SUD
141491;RIO TERCERO
141498;TANCACHA
141505;VILLA ASCASUBI
143141;GENERAL FOTHERINGHAM
143148;LAS ISLETILLAS
143155;PAMPAYASTA NORTE
143162;PUNTA DEL AGUA
140000;ZONA RURAL
141512;CAÑADA DE LUQUE
141519;LAS PEÑAS
141526;SARMIENTO
141533;SINSACATE
141540;VILLA DEL TOTORAL
143169;CANDELARIA SUD
143176;CAPILLA DEL SITON
143183;LA PAMPA
143190;LOS MISTOLES
143197;SIMBOLAR
140000;ZONA RURAL
141547;LAS ARRIAS
141554;LUCIO VICTORIO MANSILLA
141561;SAN JOSE DE LA DORMIDA
141568;SAN JOSE DE LAS SALINAS
141575;SAN PEDRO NORTE
141582;VILLA TULUMBA
143204;CHURQUI CAÑADA
143211;EL RODEO
143218;ROSARIO DEL SALADILLO
140000;ZONA RURAL
141589;ALTO ALEGRE
141596;BALLESTEROS
141603;BALLESTEROS SUD
141610;BELL VILLE
141617;BENJAMIN GOULD
141624;CANALS
141631;CHILIBROSTE
141638;CINTRA
141645;COLONIA BISMARCK
141652;IDIAZABAL
141659;JUSTINIANO POSSE
141666;LABORDE
141673;MONTE LEÑA
141680;MONTE MAIZ
141687;MORRISON
141694;NOETINGER
141701;ORDOÑEZ
141708;PASCANAS
141715;PUEBLO ITALIANO
141722;SAN ANTONIO DE LITIN
141729;SAN MARCOS SUD
141736;VIAMONTE
141743;WENCESLAO ESCALANTE
143225;ALDEA SANTA MARIA
143232;ANA ZUMARAN
143239;COLONIA BREMEN
143246;VILLA LOS PATOS
180007;BELLA VISTA
180014;BERON DE ASTRADA
180000;ZONA EN LITIGIO
180021;CORRIENTES
180028;RIACHUELO
180035;COLONIA SANTA ROSA
180042;CONCEPCION
180049;TABAY
180056;TATACUA
180063;CURUZU CUATIA
180070;PERUGORRIA
180077;EMPEDRADO
180084;ESQUINA
180091;PUEBLO LIBERTADOR
180098;ALVEAR
180105;ESTACION TORRENT
180112;CAA CATI
180119;ITA IBATE
180126;LOMAS DE VALLEJOS
180133;PALMAR GRANDE
180137;CAROLINA
180140;GOYA
180147;ITATI
180154;RAMADA PASO
180161;COLONIA LIEBIG S
180168;ITUZAINGO
180175;SAN ANTONIO
180182;SAN CARLOS
180186;VILLA OLIVARI
180189;CRUZ DE LOS MILAGROS
180196;GOBERNADOR MARTINEZ
180203;LAVALLE
180210;SANTA LUCIA
180217;YATAYTI CALLE
180224;MBURUCUYA
180231;FELIPE YOFRE
180238;MARIANO I LOZA
180245;MERCEDES
180252;COLONIA LIBERTAD
180259;JUAN PUJOL
180266;MOCORETA
180273;MONTE CASEROS
180280;BONPLAND
180287;PARADA PUCHETA
180294;PASO DE LOS LIBRES
180301;TAPEBICUA
180308;SALADAS
180315;SAN LORENZO
180322;PASO DE LA PATRIA
180329;SAN COSME
180336;SANTA ANA
180343;HERLITZKA
180350;SAN LUIS DEL PALMAR
180357;COLONIA CARLOS PELLEGRINI
180364;GUAVIRAVI
180371;LA CRUZ
180378;YAPEYU
180385;LORETO
180392;SAN MIGUEL
180399;9 DE JULIO
180406;PEDRO R. FERNANDEZ
180413;CHAVARRIA
180417;COLONIA PANDO
180420;SAN ROQUE
180427;GARRUCHOS
180434;GOBERNADOR VIRASORO
180441;JOSE RAFAEL GOMEZ
180448;SANTO TOME
180455;SAUCE
300000;ZONA RURAL
300007;COLON
300014;SAN JOSE
300021;UBAJAY
300028;VILLA ELISA
309005;ARROYO BARU
309007;COLONIA SAN ANSELMO Y ALEDAÑAS
309010;HAMBIS
309015;HOCKER
309020;LA CLARITA
309025;PUEBLO CAZES
309030;PUEBLO LIEBIG S
300000;ZONA RURAL
300035;COLONIA AYUI
300042;CONCORDIA
300049;ESTANCIA GRANDE
300056;LA CRIOLLA
300063;LOS CHARRUAS
300070;PUERTO YERUA
309035;CLODOMIRO LEDESMA
309040;COLONIA GENERAL ROCA
309045;EL REDOMON
309050;ESTACION YERUA
309060;NUEVA ESCOCIA
309065;PEDERNAL
309070;SAN JUSTO
300000;ZONA RURAL
300077;ALDEA VALLE MARIA
300084;DIAMANTE
300091;GENERAL RAMIREZ
300098;VILLA LIBERTADOR SAN MARTIN
309075;ALDEA BRASILERA
309080;ALDEA GRAPSCHENTAL
309085;ALDEA PROTESTANTE
309090;ALDEA SALTO
309095;ALDEA SPATZENKUTTER
309100;COLONIA ENSAYO
309105;COSTA GRANDE
309110;ESTACION CAMPS
309115;EL CARMEN - ESTACION RACEDO
309120;GENERAL ALVEAR
309125;ISLETAS
309130;LAS CUEVAS
300000;ZONA RURAL
300105;CHAJARI
300112;FEDERACION
300115;LOS CONQUISTADORES
300119;SAN JAIME DE LA FRONTERA
300126;SANTA ANA
300133;VILLA DEL ROSARIO
309135;COLONIA ALEMANA
309140;COLONIA LA ARGENTINA
309143;COLONIA SANTA MARIA Y LAS MARGARITAS
309150;GUALEGUAYCITO
309155;LA FLORIDA
309160;LA FRATERNIDAD Y SANTA JUANA
309165;PARAJE GUAYAQUIL
309175;SAN PEDRO
309180;SAN RAMON
309185;SAN ROQUE
300000;ZONA RURAL
300140;CONSCRIPTO BERNARDI
300147;FEDERAL
300154;SAUCE DE LUNA
309190;ARROYO DEL MEDIO
309192;ARROYO LAS TUNAS
309193;BANDERAS
309195;DISTRITO DIEGO LOPEZ
309200;EL CIMARRON
309205;EL GRAMIYAL
309215;NUEVA VIZCAYA
309220;PASO DUARTE
309225;SANTA LUCIA
300000;ZONA RURAL
300161;SAN JOSE DE FELICIANO
309230;DISTRITO CHAÑAR
309235;LA ESMERALDA
309240;LA HIERRA
309245;LA VERBENA
309250;LAGUNA BENITEZ
309260;MULAS GRANDES
309265;SAN VICTOR
300000;ZONA RURAL
300168;GENERAL GALARZA
300175;GUALEGUAY
309270;ALDEA ASUNCION
309280;DISTRITO PRIMERO
309290;DISTRITO SEXTO COSTA DE NOGOYA
309295;ESTACION LAZO
309302;ISLAS LAS LECHIGUANAS
300000;ZONA RURAL
300182;ALDEA SAN ANTONIO
300184;ENRIQUE CARBO
300185;GILBERT
300189;GUALEGUAYCHU
300196;LARROQUE
300199;PUEBLO GENERAL BELGRANO
300203;URDINARRAIN
309320;ALDEA SAN JUAN
309330;COSTA URUGUAY NORTE
309340;CUCHILLA REDONDA
309345;DISTRITO TALITAS
309355;ESTACION ESCRIÑA
309360;FAUSTINO M.  PARERA
309365;GENERAL ALMADA
309370;IRAZUSTA
309375;LAS MERCEDES
309380;PASTOR BRITOS
309395;RINCON DEL CINTO
309400;RINCON DEL GATO
300000;ZONA RURAL
300210;CEIBAS
300217;IBICUY
300224;VILLA PARANACITO
309405;MEDANOS
300000;ZONA RURAL
300231;ALCARAZ
300238;BOVRIL
300245;LA PAZ
300252;PIEDRAS BLANCAS
300259;SANTA ELENA
309415;ALCARAZ NORTE
309420;ALCARAZ SUR
309425;COLONIA AVIGDOR
309430;COLONIA CARRASCO
309440;COLONIA OFICIAL Nº 3 Y 14
309445;COLONIA VIRARO
309450;EL QUEBRACHO
309455;EL SOLAR
