"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Benin","BEN","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","83.3333333333333","80","78.0487804878049","78.5714285714286","78.2608695652174","64.2857142857143","69.6969696969697","71.0526315789474","71.0526315789474","66.6666666666667","60","66.6666666666667","63.8888888888889","73.6842105263158","76.5957446808511","78.0487804878049","77.7777777777778","75","67.8571428571428","65.3846153846154","65","57.1428571428571","57.1428571428571","54.5454545454545","54.5454545454545","54.9450549450549","58.6206896551724","61.9834710743802","63.4328358208955","64.7887323943662","57.2254335260116","57.9207920792079","60.0877192982456","57.6131687242798","57.4626865671642","60.4938271604938","64.1160949868074","63.9686684073107","67.0644391408114","69.6703296703297","69.6581196581197","69.5918367346939","69.5984703632887","67.595818815331","","","","","","",
"Burkina Faso","BFA","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","8.68055555555556","8.68055555555556","6.74486803519062","12.853470437018","14.0589569160998","14.1025641025641","13.3333333333333","12.9094412331407","14.9122807017544","15.0455927051672","13.0298273155416","14.2441860465116","17.1073094867807","16.7449139280125","17.5324675324675","15.4929577464789","15.1063829787234","15.3688524590164","15.6339370829361","14.6234676007005","17.0232558139535","17.9727427597956","17.3738991192954","16.4068299925761","16.2014563106796","17.6364727054589","17.7161152614728","17.9230363732209","15.7600406710727","14.4699140401146","15.2576489533011","14.5064054257724","14.1417776178481","15.2707702657249","15.8059467918623","14.975845410628","14.4504021447721","14.7296305358454","14.4219850102203","14.7442326980943","16.0848348348348","15.1134380453752","13.7248322147651","14.19624217119","","","","","","",
"Bulgaria","BGR","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","8.09837092731829","7.46812386156649","7.11544139356363","6.75970344526821","6.27386797599564","6.21584699453552","5.80568720379147","5.08667594584335","4.81400437636761","4.84420928865373","4.88466757123474","4.78723404255319","4.87084870848708","4.82367758186398","4.49957436458713","4.43562928236567","4.40356083086053","8.23515268093291","8.79147493339792","8.63618076974655","6.41229464758876","7.04121234522269","7.90680609062557","7.54463428681129","7.94463405384907","7.78488153441143","8.34307992202729","11.0567115463076","13.1273234200743","12.8703484237971","12.4361536753276","13.7208755001177","13.7384977530494","14.9126637554585","16.3870967741935","17.0409233997901","15.5912924102765","17.1852462394395","18.8915094339623","17.545045045045","16.1958951432636","18.5376827896513","18.6070157600407","19.5110372656065","","","","","","",
"Bahrain","BHR","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","6.22837370242214","6.66666666666667","5.3864168618267","5.34653465346535","6.88336520076482","8.27464788732394","9.36507936507937","10.0299401197605","8.68347338935574","8.70165745856354","9.14948453608247","9.45945945945946","10.0472813238771","9.81524249422633","9.56043956043956","8.59774820880246","8.73180873180873","8.79446640316206","9.06432748538012","9.36329588014981","9.82490272373541","9.27750410509031","9.02081727062452","8.96084337349398","9.21933085501859","8.94251242015614","9.27475592747559","9.07911802853437","9.42170240415854","9.65909090909091","9.78593272171254","10.413030831879","10.8938547486034","11.9797525309336","12.15953307393","11.6778523489933","12.4234470691164","12.6371393742381","12.5051082958725","12.3335943617854","11.5760657019945","12.1885779992334","11.6690240452617","11.4516672280229","","","","","","",
"Bahamas, The","BHS","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.125","8.66325104797392","6.6541117388575","6.35751682872102","31.5960912052117","30.1829268292683","24.9394673123487","12.5890736342043","13.1455399061033","12.8722382324688","15.2332361516035","15.7777777777778","14.3459915611814","14.0893470790378","15.7340355497038","14.5018915510719","16.485403548941","16.5580890336591","16.699604743083","17.2686788718456","16.5934602244998","14.5726495726496","14.7344110854503","13.1101813110181","13.7372802960222","","","","","","",
"Belarus","BLR","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.5007012622721","12.7429581124623","13.0484855464701","12.5680159256802","10.5139821902828","11.7316473480857","12.5410828576371","13.0950335109125","14.3009415526737","13.1286982248521","12.3968528113606","12.0432220039293","13.0169358014967","13.295697878139","12.8351083363937","14.1428831121614","15.9706447667307","16.6905958363245","18.0698151950719","18.4403505634055","18.2759772803207","19.8840681538732","20.2319141571478","21.3942307692308","20.5119275639909","","","","","","",
"Belize","BLZ","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermuda","BMU","CO2 emissions from transport (% of total fuel combustion)","EN.CO2.TRAN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
